,author,statement,source,date,target,BinaryTarget,BinaryNumTarget
1009,Kwasi Gyamfi,“Israel has changed their barcode from 729 to 871 … as the public was boycotting Israeli products.”,TikTok posts,"• November 21,",FALSE,FAKE,0
1010,Loreben Tuquero,Video shows that “Troy Nehls FORCES Pete Buttigieg to admit that Biden is unfit to serve.”,Facebook posts,"November 21, 2023",FALSE,FAKE,0
1011,Louis Jacobson,"“Because wages are rising, this Thanksgiving dinner is the fourth-cheapest ever as a percentage of average earnings.”",Karine Jean-Pierre,"November 21, 2023",mostly-true,REAL,1
1012,Maria Ramirez,“New police bodycam footage” of George Floyd’s arrest “changes the narrative”,Megyn Kelly,"• November 21,",FALSE,FAKE,0
1013,Madison Czopek,"A ""ghost bus … filled with FBI informants dressed as Trump supporters deployed onto our Capitol on January 6th.”",Clay Higgins,"November 21, 2023",FALSE,FAKE,0
1014,Ayden Norcross,"Jim Justice “broke his pledge, raised the gas tax.”",Alex Mooney,"November 21, 2023",FALSE,FAKE,0
1015,Louis Jacobson,"The federal government and the Federal Reserve were “raising inflation,” something that “had nothing to do with … getting our economy back in line” but rather to fund a “war against a bunch of civilians.”",TikTok posts,"November 21, 2023",FALSE,FAKE,0
1016,Loreben Tuquero,Video shows Israeli soldiers “raising their flag” over al-Shifa hospital in Gaza.,Instagram posts,"November 21, 2023",FALSE,FAKE,0
1017,Samantha Putterman,CNN and The Associated Press “admitted” to knowing about Hamas’ Oct. 7 attack in advance but didn’t tell anyone.,TikTok posts,"November 20, 2023",FALSE,FAKE,0
1018,Maria Briceño,"“Any American who needs $2,000 a month can get it now” thanks to a new government program.",Facebook posts,"November 20, 2023",FALSE,FAKE,0
1019,Jeff Cercone,These 13 books “have been banned from schools in Florida.”,Pink,"November 20, 2023",barely-true,REAL,1
1020,Louis Jacobson,"""Half of American high school students are not familiar with the Holocaust.""",Dean Phillips,"November 20, 2023",barely-true,REAL,1
1021,Samantha Putterman,Florida Gov. Ron DeSantis “did something six months ago” akin to Nikki Haley recruiting Chinese companies to South Carolina.,Nikki Haley,"November 20, 2023",FALSE,FAKE,0
1022,Ciara O'Rourke,Princess Diana “is still alive” and “possibly could be with Trump.”,Viral image,"November 17, 2023",pants-fire,REAL,1
1023,Ciara O'Rourke,Video shows “Elon Musk and the Dubai billionaire have unveiled new software called ‘Quantum AI.’”,Facebook posts,"November 17, 2023",FALSE,FAKE,0
1024,Madison Czopek,“Footage from Israeli helicopter shows the IDF killing many people at October 7 concert in Israel.”,Stew Peters,"November 17, 2023",FALSE,FAKE,0
1025,Jeff Cercone,Billboard in New York City shows “Stand with Israel” ad replacing “Stand with Ukraine” ad.,Instagram posts,"November 17, 2023",FALSE,FAKE,0
1026,Ciara O'Rourke,Video shows President Joe Biden falling “on the plane stairs shortly after landing in Poland.”,Viral image,"November 17, 2023",FALSE,FAKE,0
1027,Sophia Voight,"U.S. House Speaker Mike Johnson ""opposes Social Security benefits.""",Francesca Hong,"November 17, 2023",barely-true,REAL,1
1028,Maria Briceño,Ron DeSantis “wants to cut Social Security and Medicare.”,DeSantis Watch,"November 16, 2023",barely-true,REAL,1
1029,Louis Jacobson,“Abraham Lincoln challenged a guy to a sword fight.”,Markwayne Mullin,"November 16, 2023",half-true,REAL,1
1030,Maria Briceño,"""El representante oficial de las fuerzas armadas de Yemen ha declarado oficialmente la guerra a Israel"".",Facebook posts,"November 16, 2023",FALSE,FAKE,0
1031,Grace Abels,Fox News reported that Stormy Daniels admitted having a ‘business relationship’ with Speaker Mike Johnson.,X posts,"November 16, 2023",FALSE,FAKE,0
1032,Ciara O'Rourke,Former President Donald Trump “just told everyone he is commander in chief.”,Viral image,"November 15, 2023",FALSE,FAKE,0
1033,Ciara O'Rourke,Photo shows “Pfizer CEO Albert Bourla wearing a mask in November 2023.”,Viral image,"November 15, 2023",FALSE,FAKE,0
1034,Ciara O'Rourke,"Video shows first lady Jill Biden calling President Joe Biden “the world's biggest cheerleader for the atrocities happening now in Gaza.""",Viral image,"November 15, 2023",pants-fire,REAL,1
1035,Louis Jacobson,"“Last year alone, natural disasters in America caused $178 billion in damages.”",Joe Biden,"November 15, 2023",mostly-true,REAL,1
1036,Jeff Cercone,Rise in U.S. infant mortality rate connected to COVID-19 vaccines.,Instagram posts,"November 15, 2023",FALSE,FAKE,0
1037,Paul Specht,“This map was drawn entirely in secret by an Ohio consultant … with taxpayer dollars.”,Eric Ager,"November 15, 2023",mostly-true,REAL,1
1038,Amy Sherman,"New Hampshire has “a worse drug problem per capita than any other state.""",Donald Trump,"November 15, 2023",FALSE,FAKE,0
1039,Maria Briceño,"“Just like the Cuban regime, the Biden administration is trying to put their political opponents in jail, shutting down free speech.”",Donald Trump,"November 15, 2023",FALSE,FAKE,0
1040,Tyler Katzenberger,“Kids who don’t even know what day it is or their colors can decide to permanently change themselves” through medical gender transition.,Robin Vos,"November 15, 2023",FALSE,FAKE,0
1041,Samantha Putterman,"An exemption in a new Florida law “allowed Chinese nationals to buy land within a 20-mile radius of a military base, lobbied for by one of (Gov. Ron DeSantis’) donors.”",Vivek Ramaswamy,"November 15, 2023",half-true,REAL,1
1042,Louis Jacobson,Looking at “American aid to other countries … the vast majority of it is military aid.”,Marianne Williamson,"November 14, 2023",FALSE,FAKE,0
1043,Louis Jacobson,"“We sell arms to 60% of the world's autocrats. We are the world's largest arms exporters.""",Marianne Williamson,"November 14, 2023",TRUE,REAL,1
1044,Sarah Bahari,“We produce a lot more wind energy in Texas than California does.”,Ted Cruz,"November 14, 2023",TRUE,REAL,1
1045,Grace Abels,"Quotes House Speaker Mike Johnson as saying, “Every woman has a duty to birth at least one able-bodied worker.”",Instagram posts,"November 13, 2023",FALSE,FAKE,0
1046,Sara Swann,"On Nov. 7, 2023, Pennsylvania voting machines were “flipping votes,” which is evidence of “election fraud.”",Instagram posts,"November 11, 2023",FALSE,FAKE,0
1047,Jeff Cercone,“There is a serial killer in Cincinnati.” Seven bodies were found “chopped up.”,Facebook posts,"November 10, 2023",FALSE,FAKE,0
1048,Ciara O'Rourke,A “B-2 stealth bomber seen over New York” means “Hezbollah may declare war on Israel.”,TikTok posts,"November 10, 2023",pants-fire,REAL,1
1049,Madison Czopek,New York’s fraud case against Trump “has nothing to do with his home in Mar-a-Lago.”,Facebook posts,"November 10, 2023",FALSE,FAKE,0
1050,Marta Campabadal,Video muestra gente en Gaza en 2023 maquillándose heridas.,Facebook posts,"• November 10,",FALSE,FAKE,0
1051,Ciara O'Rourke,Video shows Ontario Premier Doug Ford promoting Elon Musk’s “latest project.”,Viral image,"November 10, 2023",FALSE,FAKE,0
1052,Ciara O'Rourke,“Jews did 9/11.”,Instagram posts,"November 10, 2023",pants-fire,REAL,1
1053,Jeff Cercone,Joe Rogan spoke about a child being abducted into a secret Disneyland tunnel.,Instagram posts,"November 9, 2023",pants-fire,REAL,1
1054,Louis Jacobson,"“In 1992, this country made a promise to Ukraine. We said if you return nuclear missiles that were part of the old Soviet Union to Russia, and they invade you, we will protect you.”",Chris Christie,"November 9, 2023",barely-true,REAL,1
1055,Ciara O'Rourke,Mel Gibson posted about “the end” of Israel and said the country wants “to destroy everything in the way.”,Viral image,"November 9, 2023",FALSE,FAKE,0
1056,Ciara O'Rourke,Video shows someone wearing a Donald Trump mask appeared in court instead of the former president.,Viral image,"November 9, 2023",pants-fire,REAL,1
1057,Ciara O'Rourke,Elon Musk is dead.,Viral image,"November 9, 2023",FALSE,FAKE,0
1058,Ciara O'Rourke,Video shows TV personalities promoting a diabetes cure.,Viral image,"November 9, 2023",FALSE,FAKE,0
1059,Ciara O'Rourke,Videos show singer Kelly Clarkson promoting diet products.,Viral image,"November 9, 2023",FALSE,FAKE,0
1060,Ciara O'Rourke,“Taylor Swift pulls ‘Eras’ film screenings in Israel.”,Viral image,"November 9, 2023",FALSE,FAKE,0
1061,Jeff Cercone,"""Acapulco destroyed by yet another directed weather attack!”",Instagram posts,"November 9, 2023",pants-fire,REAL,1
1062,Tyler Katzenberger,Wisconsin elections administrator Meagan Wolfe “refuses to clean up our voter rolls”,"Wisconsin Election Committee, Inc .","November 8, 2023",pants-fire,REAL,1
1063,Tyler Katzenberger,Wisconsin elections administrator Meagan Wolfe “allowed for the use of illegal drop boxes and ballot harvesting.”,"Wisconsin Election Committee, Inc .","November 8, 2023",FALSE,FAKE,0
1064,Tyler Katzenberger,Wisconsin elections administrator Meagan Wolfe “permitted the ‘Zuckerbucks’ influence money.”,"Wisconsin Election Committee, Inc .","November 8, 2023",pants-fire,REAL,1
1065,Ciara O'Rourke,“Protesters in Kerala India accidentally brought the Italian flag instead of the Palestine flag to pro-Hamas protest.”,Viral image,"November 8, 2023",FALSE,FAKE,0
1066,Ciara O'Rourke,New York Attorney General Letitia James said President Joe Biden “is an embarrassment to all that we stand for.”,Facebook posts,"November 8, 2023",FALSE,FAKE,0
1067,Ciara O'Rourke,“NASA admits space and planets are fake.”,Viral image,"November 8, 2023",pants-fire,REAL,1
1068,Ciara O'Rourke,Video shows late night host Jimmy Fallon interviewing singer Kelly Clarkson about a weight loss product.,Viral image,"November 8, 2023",FALSE,FAKE,0
1069,Ciara O'Rourke,Video shows California Gov. Gavin Newsom falling down airplane stairs.,Viral image,"November 8, 2023",FALSE,FAKE,0
1070,Louis Jacobson,"“Only in Washington can you cut funding, add a pay-for to a new spending measure, and they say it's terrible for the deficit.”",Mike Johnson,"November 7, 2023",FALSE,FAKE,0
1071,Louis Jacobson,"""Over the past four decades, we’ve lost over 400,000 farms in America (and) over 140 million acres of farmland. And that’s an area roughly equal to the size of Minnesota, North and South Dakota combined.”",Joe Biden,"November 7, 2023",mostly-true,REAL,1
1072,Ciara O'Rourke,Video shows Hoda Kotb interviewing Kelly Clarkson about “her weight loss journey.”,Viral image,"November 7, 2023",FALSE,FAKE,0
1073,Hope Karnopp,Some individuals or businesses in Wisconsin are charging $2 or $2.25 an hour for child care.,"Rachael Cabral-Guevara,","November 7, 2023",mostly-true,REAL,1
1074,Ciara O'Rourke,Video shows “Israel Zionist blowing up people in hospitals” in 2023.,Viral image,"November 7, 2023",FALSE,FAKE,0
1075,Ciara O'Rourke,Video shows someone impersonating President Joe Biden visiting Israel in October 2023.,Viral image,"November 7, 2023",pants-fire,REAL,1
1076,Ciara O'Rourke,Photos are evidence actor Courteney Cox uses adrenochrome from kidnapped children.,Instagram posts,"November 7, 2023",pants-fire,REAL,1
1077,Ciara O'Rourke,"Photo shows “American soldiers praying for their country, for Israel before being deployed to defend Israel” in 2023.",Facebook posts,"November 6, 2023",FALSE,FAKE,0
1078,Sara Swann,Ukrainian President Volodymyr Zelenskyy “has surrendered.”,Instagram posts,"November 6, 2023",FALSE,FAKE,0
1079,Jeff Cercone,Israel bombed Palestinian children trying to get water.,TikTok posts,"November 6, 2023",FALSE,FAKE,0
1080,Grace Abels,Ohio’s Issue 1 “allows for abortion after viability for…financial reasons.”,Protect Women Ohio,"November 3, 2023",FALSE,FAKE,0
1081,Louis Jacobson,“Because of our economic policies we now are reducing inflation.”,Kamala Harris,"November 3, 2023",barely-true,REAL,1
1082,Sara Swann,1936 in the United States was “much hotter than 2023.”,Facebook posts,"November 3, 2023",FALSE,FAKE,0
1083,Ciara O'Rourke,Switzerland’s distribution of iodine tablets means the government is worried about nuclear war.,Facebook posts,"November 3, 2023",FALSE,FAKE,0
1084,Ciara O'Rourke,Video shows “rioters rush people’s houses” Oct. 28 in Washington D.C.,Viral image,"November 3, 2023",FALSE,FAKE,0
1085,Ciara O'Rourke,Bill Gates wrote a 2011 article titled “Depopulation Through Forced Vaccination.”,Viral image,"November 3, 2023",FALSE,FAKE,0
1086,Madison Czopek,“New court documents reveal that George Floyd died of a fentanyl overdose.”,Instagram posts,"November 3, 2023",FALSE,FAKE,0
1087,Ciara O'Rourke,U.S. Rep. Mike Johnson is the 45th speaker of the House.,Facebook posts,"November 3, 2023",FALSE,FAKE,0
1088,Sophia Voight,"Potato chips, KitKat bars and Viagra are not taxed in Wisconsin because they are considered ""essential.""",Melissa Agard,"November 3, 2023",TRUE,REAL,1
1089,Grace Abels,Republicans in Congress are “trying to wipe out federal funding to end the HIV epidemic.”,Joe Biden,"November 3, 2023",half-true,REAL,1
1090,Loreben Tuquero,Irán izó una bandera negra y “esto significa un llamado” a la guerra o venganza.,Facebook posts,"November 2, 2023",FALSE,FAKE,0
1091,Ciara O'Rourke,“Dr. Fauci doesn’t exist!”,Instagram posts,"November 2, 2023",pants-fire,REAL,1
1092,Louis Jacobson,“Gen Z is divided 50-50 on whether they support Hamas or Israel.”,Vivek Ramaswamy,"November 2, 2023",barely-true,REAL,1
1093,Anthony Starkey,"Gasoline prices are ""up 63%"" under President Joe Biden.",Chris Rose,"November 2, 2023",half-true,REAL,1
1094,Maria Briceño,"“Fallecimiento del exmandatario de la presidencia de Honduras"" en incendio de cárcel en Nueva York.",TikTok posts,"November 2, 2023",FALSE,FAKE,0
1095,Maria Briceño,Video muestra “momento cuando el huracán Otis llegó a Acapulco”.,Facebook posts,"November 2, 2023",FALSE,FAKE,0
1096,Grace Abels,“Every President we ever had in the United States of America was a draconian reptilian.”,Facebook posts,"November 1, 2023",pants-fire,REAL,1
1097,Amy Sherman,Gov. Ron DeSantis “actually sponsored the bill to make Puerto Rico a state.”,MAGA Inc,"November 1, 2023",mostly-true,REAL,1
1098,Louis Jacobson,"China is “the largest developer of neuro-strike weapons, weapons engineered to change the brain activity of military commanders and segments of the population.”",Nikki Haley,"November 1, 2023",mostly-true,REAL,1
1099,Ciara O'Rourke,Video shows Elon Musk said South Africans no longer have to work with access to his “platform.”,Viral image,"October 31, 2023",FALSE,FAKE,0
1100,Ciara O'Rourke,Video shows singer Kelly Clarkson discussing a “weight loss formula.”,Viral image,"October 31, 2023",FALSE,FAKE,0
1101,Ciara O'Rourke,“Palestinian journalist films the moment an Israeli strike kills him and a fellow medic on live TV” in October 2023.,Viral image,"October 31, 2023",FALSE,FAKE,0
1102,Sara Swann,Rainbow fentanyl is a threat to children on Halloween.,Rick Scott,"October 31, 2023",FALSE,FAKE,0
1103,Ciara O'Rourke,"“In UCLA hundreds of students chanting: ‘Israel Israel you can’t hide, we want Jewish genocide.’”",Instagram posts,"October 31, 2023",FALSE,FAKE,0
1104,Ciara O'Rourke,The media didn’t cover “new history” when North Korea and South Korea’s leaders crossed the border for the first time.,Viral image,"October 31, 2023",FALSE,FAKE,0
1105,Ciara O'Rourke,“Joe Biden confirms WW3 live on TV.”,Facebook posts,"October 31, 2023",FALSE,FAKE,0
1106,Marta Campabadal,"Un nuevo subsidio del gobierno ofrece una tarjeta de salud con $1,200 al mes y “puedes usar el dinero para todo lo que desees o necesites"".",Facebook posts,"• October 31,",FALSE,FAKE,0
1107,Loreben Tuquero,Photos show Gaza on Oct. 27.,Instagram posts,"October 31, 2023",FALSE,FAKE,0
1108,Sara Swann,"Russian President Vladimir Putin suffered a heart attack Oct. 22, 2023.",Social Media,"October 31, 2023",FALSE,FAKE,0
1109,Amy Sherman,“The Republicans and Trump funded $400 million in March of 2020 for mail ballots.”,Ron DeSantis,"October 31, 2023",half-true,REAL,1
1110,Madison Czopek,“Haaretz investigation reveals discrepancies in Israel’s reporting on October 7th death toll.”,Instagram posts,"October 31, 2023",FALSE,FAKE,0
1111,Laura Schulte,"“Wisconsin has historically … and I think largely continues to be, a blue state.”",Scott Walker,"October 31, 2023",barely-true,REAL,1
1112,Ciara O'Rourke,"“The airport in Salzburg, Austria, has a counter for people who flew to Austria instead of Australia.”",Instagram posts,"October 30, 2023",FALSE,FAKE,0
1113,Ciara O'Rourke,Video shows Palestinians pretending to be corpses amid the Israel-Hamas war.,Viral image,"October 30, 2023",FALSE,FAKE,0
1114,Loreben Tuquero,The life span of a wind tower generator lasts just three to four years.,Facebook posts,"October 30, 2023",FALSE,FAKE,0
1115,Ciara O'Rourke,Matthew Perry died because of a COVID-19 vaccine.,Instagram posts,"October 30, 2023",FALSE,FAKE,0
1116,Jill Terreri,A discrepancy in the number of ballots and voters in the 2022 general election in New York “appears to be a federal crime.”,New York Citizens Audit,"• October 29,",FALSE,FAKE,0
1117,Madison Czopek,“The FDA is required to take the COVID vaccines off the market” because they are “adulterated.”,Steve Kirsch,"October 27, 2023",FALSE,FAKE,0
1118,Ciara O'Rourke,McDonald’s changed its food wrappers to support Israel amid the war.,Viral image,"October 27, 2023",FALSE,FAKE,0
1119,Louis Jacobson,“It is harder to buy Sudafed than an AR-15 in Maine.”,Shannon Watts,"October 27, 2023",half-true,REAL,1
1120,Maria Briceño,"""Estados Unidos le cancelara el Parole a los venezolanos"".",Facebook posts,"October 27, 2023",FALSE,FAKE,0
1121,Ricardo Torres,"The Milwaukee Brewers “are complaining about a lack of transit going to the ballpark at the same time as they are testifying in favor (of) taking $135 million away from Milwaukee County, which funds transit.""",Chris Larson,"October 27, 2023",barely-true,REAL,1
1122,Ciara O'Rourke,U.S. Sen. Chuck Schumer “is a dual Israeli citizen.”,Viral image,"October 27, 2023",FALSE,FAKE,0
1123,Ciara O'Rourke,Video shows a President Joe Biden impostor.,Viral image,"October 27, 2023",pants-fire,REAL,1
1124,Louis Jacobson,“Prices have increased over 17% in the last two years.”,Mike Johnson,"October 26, 2023",half-true,REAL,1
1125,Louis Jacobson,"“In the time it’s going to take me to deliver this speech, we’ll go up another $20 million in debt.”",Mike Johnson,"October 26, 2023",mostly-true,REAL,1
1126,Louis Jacobson,"""95% of over-the-counter pharmaceuticals"" in the U.S. come from China.",Vivek Ramaswamy,"October 26, 2023",FALSE,FAKE,0
1127,Louis Jacobson,"“When I came into office, Iran had $70 billion in foreign exchange reserves. … By the time I left, they had nothing. They were broke.”",Donald Trump,"October 26, 2023",half-true,REAL,1
1128,Madeline Heim,"""The repeal of Roe v. Wade has exacerbated the state’s OB-GYN shortage as residency programs report a decline in enrollment due to the inability of residents to receive training in-state.""",Opportunity Wisconsin,"October 25, 2023",half-true,REAL,1
1129,Loreben Tuquero,A video proves that the United Nations is “setting up shop in U.S. states.”,Facebook posts,"October 25, 2023",FALSE,FAKE,0
1130,Ciara O'Rourke,Video shows protesters attacking Israel’s embassy in Bahrain with molotov cocktails.,Instagram posts,"October 25, 2023",FALSE,FAKE,0
1131,Ciara O'Rourke,Video shows protesters in Lebanon “storming the border with Palestine in support of Gaza” in October 2023.,Viral image,"October 25, 2023",FALSE,FAKE,0
1132,Ciara O'Rourke,Photo shows President Joe Biden lounging on the beach in October 2023 amid the Israel-Hamas war.,Viral image,"October 25, 2023",FALSE,FAKE,0
1133,Hope Karnopp,"“Since 1981, the state Senate has only rejected five executive appointments. The GOP today is more than doubling that number.”",Melissa Agard,"October 25, 2023",TRUE,REAL,1
1134,Ciara O'Rourke,Greta Thunberg urged people to use “vegan grenades” because “no animals should have to give their life for all this mayhem and chaos.”,Viral image,"October 25, 2023",FALSE,FAKE,0
1135,Ciara O'Rourke,Writer Bari Weiss wrote that what the Trump administration did “was pretty incredible in hindsight.”,X posts,"October 25, 2023",FALSE,FAKE,0
1136,Marta Campabadal,Este video muestra al Dr. Juan Rivera hablando sobre un medicamento para la artritis y la artrosis.,Facebook posts,"• October 24,",pants-fire,REAL,1
1137,Maria Briceño,"Este video muestra al ""Presidente Joe Biden llegando a Israel"" con aviones escoltas.",Facebook posts,"October 24, 2023",FALSE,FAKE,0
1138,Aidan Cornue,"Sen. Joe Manchin’s “support for the (Inflation Reduction Act) could cost West Virginia 100,000 fossil fuel jobs.”",One Nation,"October 24, 2023",barely-true,REAL,1
1139,Ayden Norcross,Jim Justice “supports banning sporting rifles for law-abiding citizens.”,Alex Mooney,"October 24, 2023",FALSE,FAKE,0
1140,Madison Ely,"Jim Justice ""opposes the Right to Work”",Alex Mooney,"October 24, 2023",barely-true,REAL,1
1141,Loreben Tuquero,Video shows crisis actors in Palestine “working overtime to fool the world” during the current Israel-Hamas war.,Instagram posts,"October 24, 2023",FALSE,FAKE,0
1142,Ciara O'Rourke,"Video shows University of Pennsylvania students chanting, “We want Jewish genocide.”",Viral image,"October 24, 2023",FALSE,FAKE,0
1143,Maria Briceño,"Las empresas solares en Estados Unidos ""tienen que regalar paneles solares sin costo neto si lo solicitas"".",Facebook posts,"October 24, 2023",FALSE,FAKE,0
1144,Loreben Tuquero,Black flag hoisted over a mosque in Iran is a “call to all of Islam for war.”,Facebook posts,"October 23, 2023",FALSE,FAKE,0
1145,Ciara O'Rourke,Video shows Russia attacking Israel in October 2023.,TikTok posts,"October 23, 2023",FALSE,FAKE,0
1146,Ciara O'Rourke,Video shows CNN interviewing “actors.”,TikTok posts,"October 23, 2023",FALSE,FAKE,0
1147,Louis Jacobson,"""Russia has hypersonic missile capabilities ahead of that of the U.S.”",Vivek Ramaswamy,"October 20, 2023",half-true,REAL,1
1148,Marta Campabadal,"""AHORA: Manifestantes pro palestinos y policías se enfrentaron en las calles de Barcelona, ​​España. Las protestas son parte de represalias después del bombardeo de un hospital en Gaza"".",Facebook posts,"• October 20,",FALSE,FAKE,0
1149,Madison Czopek,"Video shows North Korean President Kim Jong Un blaming President Joe Biden for the Israel-Hamas war and Russia’s invasion of Ukraine, and saying, “I support Donald Trump for President in 2024.”",Instagram posts,"October 20, 2023",FALSE,FAKE,0
1150,Maria Ramirez,"“In the last 11 months, Customs and Border Patrol has averaged 200,000 apprehensions a month, and you know how many beds we have to detain people at the border? Thirty-eight thousand.""",Chris Christie,"• October 20,",mostly-true,REAL,1
1151,Loreben Tuquero,A video shows “a car carrying men waving the Palestinian flag abruptly and dangerously stopping traffic to run ‘donuts.’”,Instagram posts,"October 20, 2023",FALSE,FAKE,0
1152,Amy Sherman,“Nikki Haley argues in support of bringing Gaza refugees to America.”,Never Back Down PAC,"October 20, 2023",FALSE,FAKE,0
1153,Maria Briceño,Joe Biden advirtió el 15 de octubre de 2023 “que Corea del Norte podría estar preparando un ataque parecido al Hamas en Israel pero este sería en suelo americano”.,Facebook posts,"October 20, 2023",FALSE,FAKE,0
1154,Max Cohen,“2022 was the biggest tourism year ever in West Virginia”,Jim Justice,"October 20, 2023",half-true,REAL,1
1155,Marta Campabadal,"Video shows a family learning their debt was resolved by the “American Debt Relief program” for American citizens and legal residents who “have over $20,000” in credit card debt.",Facebook posts,"• October 20,",FALSE,FAKE,0
1156,Maria Briceño,"“A partir de ahora la milicia de Hamas se vio obligada a rendirse al ejército Israeli, ondeando sus banderas blancas"".",Facebook posts,"October 19, 2023",FALSE,FAKE,0
1157,Anthony Starkey,“The Inflation Reduction Act led to higher taxes.”,Americans for Prosperity,"October 19, 2023",barely-true,REAL,1
1158,Ashala Moseberry,"""Credit card debt is above $1 trillion for the FIRST TIME EVER.""",Jim Justice,"October 19, 2023",mostly-true,REAL,1
1159,Samantha Putterman,The Wall Street Journal reported that the Oct. 17 Gaza hospital explosion was caused by an American missile.,Social Media,"October 18, 2023",FALSE,FAKE,0
1160,Maria Briceño,Benjamin Netanyahu dijo que lanzará una bomba nuclear a Gaza.,Facebook posts,"October 18, 2023",FALSE,FAKE,0
1161,Ciara O'Rourke,“Thousands of U.S. troops make their way to Israel” in video.,TikTok posts,"October 18, 2023",FALSE,FAKE,0
1162,Ciara O'Rourke,Video shows “Egyptians delivering food and water to Gaza” in October 2023.,Instagram posts,"October 18, 2023",FALSE,FAKE,0
1163,Ciara O'Rourke,President Joe Biden declared a federal emergency and deployed the National Guard in October.,Facebook posts,"October 18, 2023",FALSE,FAKE,0
1164,Tyler Katzenberger,"There are ""about a half a dozen"" transgender athletes competing in Wisconsin K-12 schools.",Barbara Dittrich,"October 18, 2023",barely-true,REAL,1
1165,Sara Swann,“Lego donates model MRI kits to hospitals to help children understand the procedure and reduce their anxiety.”,Instagram posts,"October 18, 2023",TRUE,REAL,1
1166,Amy Sherman,The Democrats are pushing “to take in a million Palestinian refugees.”,Andy Biggs,"October 18, 2023",pants-fire,REAL,1
1167,Loreben Tuquero,A video shows President Joe Biden invoking the Selective Service Act.,Facebook posts,"October 17, 2023",FALSE,FAKE,0
1168,Maria Briceño,Este video muestra “la franja de Gaza” en llamas.,TikTok posts,"October 16, 2023",FALSE,FAKE,0
1169,Sara Swann,“Egypt is now at war with Israel.”,Facebook posts,"October 16, 2023",FALSE,FAKE,0
1170,Jeff Cercone,“Cries of Victory in Israel — Gaza Now Belongs to Israel! HAMAS Surrenders Desperately!”,Facebook posts,"October 16, 2023",FALSE,FAKE,0
1171,Loreben Tuquero,A debit card issued by the United Nations High Commissioner for Refugees is being used to pay for a U.S. invasion.,Instagram posts,"October 13, 2023",FALSE,FAKE,0
1172,Loreben Tuquero,“There isn't a single video or photo suggesting that 250 people were killed (by Hamas) at a concert or that a mass shooting took place” on Oct. 7 in Israel.,Instagram posts,"October 13, 2023",pants-fire,REAL,1
1173,Jeff Cercone,Biden is “funding every angle” of the Israel-Hamas war.,Instagram posts,"October 13, 2023",barely-true,REAL,1
1174,Ciara O'Rourke,Video shows an “inflatable decoy plane” at the Kabul airport in 2021.,Viral image,"October 13, 2023",FALSE,FAKE,0
1175,Amy Sherman,"It has been U.S. policy “for at least 79 years"" to require Americans who intend to be evacuated from overseas to sign a promissory note.",Brian Krassenstein,"October 13, 2023",TRUE,REAL,1
1176,Sara Swann,Less than 48 hours after Israel was attacked “we have hundreds of hours worth of footage but zero footage from the Ukraine war.”,Instagram posts,"October 13, 2023",pants-fire,REAL,1
1177,Loreben Tuquero,A video shows red flares and fireworks going off in Gaza.,Social Media,"October 13, 2023",FALSE,FAKE,0
1178,Jeff Cercone,"""‎The emir of Qatar, Sheikh Tamim bin Hamad al-Thani, has threatened that if the bombing of Gaza does not stop, he will cut off the supply of gas to the world.”",Facebook posts,"October 13, 2023",FALSE,FAKE,0
1179,Ciara O'Rourke,The 2023 Israel-Hamas war is a “false flag.”,Instagram posts,"October 13, 2023",pants-fire,REAL,1
1180,Ciara O'Rourke,"""La Esfera de Las Vegas se ilumina con la bandera de Israel”.",Facebook posts,"October 13, 2023",FALSE,FAKE,0
1181,Ciara O'Rourke,The Las Vegas Sphere displayed an Israeli flag.,X posts,"October 13, 2023",FALSE,FAKE,0
1182,Ciara O'Rourke,Video shows recent violence in Israel and Gaza is “fake.”,Viral image,"October 13, 2023",FALSE,FAKE,0
1183,Ciara O'Rourke,A CNN reporter “faked” being near the Israel-Gaza border.,Instagram posts,"October 13, 2023",FALSE,FAKE,0
1184,Ciara O'Rourke,Video shows U.S. Navy pilots arriving in Palestine.,Viral image,"October 13, 2023",FALSE,FAKE,0
1185,Maria Briceño,"""Estados Unidos lanza el primer ataque hacia Medio Oriente"" después del ataque de Hamas a Israel.",Facebook posts,"October 13, 2023",FALSE,FAKE,0
1186,Maria Briceño,"Video muestra ""camión de la ONU traficando con niños” en Senegal.",Facebook posts,"October 13, 2023",FALSE,FAKE,0
1187,Maria Briceño,"Este video muestra un ""contraataque israelí"" hacia Hamas en Gaza.",Facebook posts,"October 13, 2023",FALSE,FAKE,0
1188,Ciara O'Rourke,“Kamala Harris is not a ‘natural born citizen’” and “can’t be president.”,Viral image,"October 12, 2023",pants-fire,REAL,1
1189,Ciara O'Rourke,Video shows CNN “faking attack in Israel on the camera.”,Viral image,"October 12, 2023",FALSE,FAKE,0
1190,Maria Ramirez,"“The same people that raided Israel are pouring into our once beautiful USA, through our TOTALLY OPEN SOUTHERN BORDER, at Record Numbers.”",Donald Trump,"• October 12,",pants-fire,REAL,1
1191,Jacquie Broush,“Since Biden took office ... real wages have fallen monthly.”,West Virginia Republican Party,"October 12, 2023",mostly-true,REAL,1
1192,Ciara O'Rourke,"Video shows President Joe Biden telling a child, “You’re one sexy kid.”",Instagram posts,"October 12, 2023",pants-fire,REAL,1
